movie_name,description,director
The Best Years of Our Lives,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,93,342,"For his performance as Homer Parrish, ",,"Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.,Such a powerful film. At first the new lives of the soldiers seem to be facing small adjustments, such as their children's interest in ""atomic energy"" and ""scientific efficiency"". But soon we find that jobs are hard to find, and the wives and girlfriends sometimes met new people while the battles were fought.,Although a serious topic, the film has the right balance of entertainment and drama. It never gets outright depressing, and things like depression and suicide are overlooked. But it still remains a valuable lesson: as bad as dying in the war is, sometimes the transition back to normalcy can be just as damaging.,Although not one of the better known movies today (2014), ""The Best Years of Our Lives"" won seven Academy Awards in 1946, including Best Picture, Best Director (William Wyler), Best Actor (Fredric March), Best Supporting Actor (Harold Russell), Best Film Editing (Daniel Mandell), Best Adapted Screenplay (Robert Sherwood), and Best Original Score (Hugo Friedhofer). It still sits on the IMDb Top 250, just as it should.","Myrna Loy,Dana Andrews,Fredric March","$2,100,000 (estimated)"
The Exorcist,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",William Friedkin,81,1.4K,The scene where Regan projectile vomits at Father Karras only required one take. The vomit was intended to hit ,,"This known story concerns about a mother (Ellen Burstyn) and her daughter (Linda Blair), the latter is possessed and two Fathers , Karras (Jason Miller) and Merrin (Max Von Sidow) attempt to free Regan MacNeil from possession by the devil . Meanwhile , a Police Inspector (Lee J. Cobb) is investigating the weird events . And the priests suffering incredible risks trying to unravel mystery of demon living inside Regan .,This is a fairly suspenseful and horrifying story, based on a supposedly true flick . The movie begins well and grows more and more until the scary and eerie finale . Top-notch picture, thanks to fine acting , tight pacing , well mounted edition and skillful special effects with magnificent make-up by Dick Smith . Creepy acting by Linda Blair , due to death threats against Linda Blair from religious zealots who believed the film ""glorified Satan"", Warner Bros had bodyguards protecting her for six months after the film's release . On the first day of filming the exorcism sequence, Linda Blair's delivery of her foul-mouthed dialogue so disturbed the gentlemanly Max Von Sydow that he actually forgot his lines . The script is awesome , the acting excellent and the direction by William Friedkin plenty of good pace and conviction . Enjoyable secondary cast such as Lee J Cobb , Kitty Winn and Jack McGowran who died at the time finished the movie and added a legend about Exorcist's curse . Dark cinematography in sinister and mysterious atmosphere by Owen Roitzman and frightening musical score adding Mike Oldfield's soundtrack ¨Tubular bells¨ . The tale is rated ¨R¨ for graphic violence and profanity but contains gore and guts . Reiussed in 2000 by means of a special edition by director with ten minutes approximately additional footage with new amazing scenes as Regan downing stairs .,Followed by two sequels and numerous imitations , in 1977 ¨the Heretic¨ by John Borman with Richard Burton , deemed awful and in 1990 titled ¨The Exorcist III¨ by William Peter Blatty with George C Scott, Brad Dourif , Ed Flanders and Nicol Williamson . Furthermore, spawned two prequels starred by a young Father Merrin , Stellan Skarsgard , and set in Africa , both of them directed by Paul Schrader and Renny Harlin .","Ellen Burstyn,Max von Sydow,Linda Blair","$11,000,000 (estimated)"
Groundhog Day,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",Harold Ramis,72,903," was bitten by the groundhog twice during shooting. Murray had to have anti rabies injections, because the bites were so severe.",,"It's been 6 or even 7 years since I watched this masterpiece. Possibly, you would argue: 'Hey, if it is a excellent movie, what is Titanic, The Godfather and The Shawshank Redemption?"" Well, if you are still not bored after a hundred views, it is perfect movie for you. And it holds for me. Easy, but important idea is the key of everything. This is love we all want in our lives.
And I should note pretty good acting of Bill Murray.","Bill Murray,Andie MacDowell,Chris Elliott","$14,600,000 (estimated)"
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,90,597,"In the movie, Jesse (",,"A sequel to the 1995 film ""Before Sunrise"". Jesse (Ethan Hawke) and  Celine (Julie Delpy) meet 9 years after their initial meeting. They've  changed--originally they were in their 20s and full of idealism. Now  they're in their 30s--and their lives have changed in ways they didn't  predict. Like the first movie they walk around Paris this time and talk about love, life, reality, what  might have been--and it's all fascinating. Like the first film this is  basically a character study and (like the first) just incredible. It's  like catching up with old friends after 9 years apart! They've aged a  lot--Hawke looks TERRIBLE but Delpy looks OK--and life has thrown both  a few hard knocks but hearing how they survived and what they went  through is just incredible.   This is NOT for everybody (four people walked out when I went to see  it) but, for people who can deal with nonstop talk for 80 minutes it is  just great. Every single line rings true and is delivered full force by  Hawke and Delpy. The acting varies--Hawke is good (but he smiles WAY  too much)--Delpy is just superb all the way through.  This is easily one of the best films of 2004. Highly recommended.","Ethan Hawke,Julie Delpy,Vernon Dobtcheff","$2,700,000 (estimated)"
The Wizard of Oz,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",Victor Fleming,92,798,"Many of The Wicked Witch of the West's scenes were either trimmed or deleted entirely, as ",,"The NBC Peacock began unfolding its wings.  ""The following program is brought to you in living color--with portions in black & white--on NBC."" That exclusive intro began my exposure to color television at Grandma's in 1968.  When Dorothy stepped out into Technicolor, I'll bet my eyes just popped.,This is the Movie of All Time, folks--a status achieved during its long run as a huge annual TV event during that classic era whose programs now show up on TV Land network.  In the 1970s, Peter Marshall once read the answer on Hollywood Squares as to the program seen more times by more people than anything else ever shown on television.  It was ""Oz.""  Likewise, no movie has the hold on popular culture that this one does.  What lion character ever since (i.e., Snagglepuss) hasn't been an impersonation of Bert Lahr going, ""Put 'em up, put 'em uuuuup!"",Few musicals offer an equal combination of lovable music and engaging story. Perhaps ""The Sound of Music.""  Hard to think of many Hollywood musicals where the story gets as serious as it does here when the Witch informs Dorothy that, ""The last to go will see the first three go before her...and her mangy little dog too!""  Yikes!  In contrast, even the best of other Hollywood musicals seem to serve up fluffy, forgettable story lines that are mere backdrop to the song numbers that typically put the plot on hold.,I can't say that ""Oz"" doesn't have technical flaws or story element inconsistencies.  It's just that the astonishing production values all around so overwhelm the shortcomings.  The tornado sequence is a 1939 special effects tour de force--incredible.  And the Nutcracker-quality musical score offers songs tastefully interwoven with the action.  Certain numbers like ""Merry Old Land of Oz,"" I never get tired off, though I like each of the songs.,Oz should be viewed in the lightness of spirit that it deserves.  I mean look, we have Frank Morgan as the Emerald City gatekeeper, then seconds later as the cabbie with the Horse of a Different Color, then the Wizard's palace guard, and then the voice of fire-and-smoke Wizard of Oz who bellows, ""Step forward, Tin Man!""  What other film could put an actor go through 4 quick-changes within 10 minutes to such an endearing result?  ""Oz"" is as magic as those sparkling ruby shoes.,The early Technicolor process utilized triple nitrate negative strips--separately recording each primary color in light.  This was done due to the lack of a suitable ""color film"" in 1939.  That would quickly change--but films from years following suffered from hues that faded with the years, even original negatives.  Because ""Oz"" was actually filmed on a black-and-white base film, the negatives never faded.  So now we have home videos/DVDs of breathtaking color quality.  Now, the tinted filters in the cameras that separated the colors onto the negative strips meant that intense illumination was required, rendering the filming experience miserably hot for the actors involved, especially Lahr.  But they all hold up amazingly well.,""Oz"" has a valuable message.  As the pop group America once said, ""No, Oz never did give nothin' to the Tin Man....that he didn't, didn't already have.""  If we have truly search, we can find within us--or create through trial, like the Lion's courage--what we think we most lack.  The Wizard (like the Lord) helps those who find help within themselves.,I feel sorry for the Almira Gulches who can't treasure this film experience. They need to visit the Emerald City to get their own ticking Testimonials and find their hearts.,Didn't bring your broomsticks with you?  Well, I'm afraid you'll have to walk.","Judy Garland,Frank Morgan,Ray Bolger","$2,777,000 (estimated)"
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters th...",Sean Penn,73,1K,", the Alaskan who gave Chris the rubber boots in the opening scene, plays himself.",,"Good, but as great as it is made out to be. Great scenery and cinematography, like a National Geographic documentary. Great soundtrack by Eddie Vedder. The central plot is very interesting and thought-provoking, but it gets done to death. From a point the movie just drifts. A shorter, more focussed film would have been much more watchable.,Emile Hirsch is great in the lead role and really unhabits the part (down to the emaciated look). The supporting cast are a Hollywood who's who - William Hurt, Hal Holbrook, Catherine Keener, Marcia Gay Harden, Vince Vaughn, Jena Malone, Kristen Stewart.","Emile Hirsch,Vince Vaughn,Catherine Keener","$15,000,000 (estimated)"
Network,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,83,434, was desperate to win the role of Howard Beale once he had read the script. He even offered to pay his own airfare to New York City for the screentest. But ,,"Now, here is a film that everyone needs to see, especially today.,Children should be raised on the truth instead of fiction.,Television seduces, entertains, divides, desensitizes, and corrupts not just kids but adults as well. It's gotten so bad over the years it's like some kind of a disease now. Most people believe everything they see, read, and hear. Fortunately for me, I'm not most people. There are things that I question and there are things that I know are very wrong. Lying to the American people in every possible way is very, very wrong.,I've never seen anyone open up their window and stick out their head and yell that they're as mad as hell and they're not gonna take this anymore. I've never seen anyone say that they were a human being and that their life had value. We're so screwed up in the head we don't even deserve to be called human beings. We're like pre-programmed, numbered, clones enslaved from the cradle to the grave; clones that are programmed and structured to obey authority of all kinds.,""Network"" deserved the Best Picture Oscar for '76, but it lost to ""Rocky"". How the Academy of Motion Picture Arts and Sciences allowed that to happen is beyond me.,That's all I have to say about that.","Faye Dunaway,William Holden,Peter Finch","$3,800,000 (estimated)"
Pather Panchali,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray,,186,"Halfway through filming, Ray ran out of funds. The Government of West Bengal loaned him the rest, allowing him to complete the film. This loan is listed in public records at the time as ""roads improvement"", a nod to the film's translated title.",,"This film is based on the the Bengali novel ""Pather Panchali"" by Bibhutibhushan Bandyopadhyay. It is hard to believe Satyajit Ray made his directorial debut with this film. The movie itself is the evidence what Satyajit Ray was capable of. Story is simple but the things that make the film great are its soulful scenes without using dialogues, camera work technically very much ahead of its time and the background score by Pandit Ravi Shankar setting the tone for the movie. The style of detailings used in this film help us to connect with the film. Cinematography and believable acting are the strength of this film. No wonder why Martin Scorsese was a great admirer of Satyajit Ray's work.","Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee","$134,241"
Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,74,646,"In an interview with Austrian Times on the occasion of his 60th birthday, Niki Lauda stated that a journalist asking him how his injured face affected his marriage was the biggest insult he had to suffer in his life.",,"In 1976, the rivalry between two brilliant racing car drivers, the British James Hunt and the Austrian Nikki Lauda, came to a head in the almost literally life-and-death struggle of the Formula One championship. American director Ron Howard (""Apollo 13"", ""A Beautiful Mind"", ""Frost/Nixon"") and British scriptwriter Peter Morgan (both play and screenplay of ""Frost/Nixon"") have done a terrific job bringing the titanic struggle to the big screen, aided by some excellent casting and powerful sound and cinematography. Those were the days when most years a couple of drivers would be killed, so the stakes could not be higher.,Sensibly the car racing does not over-dominate, since this is essentially a character- driven conflict, but when the racing is on screen - notably in the final race - the excitement is visceral. The Australian Chris Hemsworth (previously best known as ""Thor"") and the Spanish-born German Daniel Brühl (""Inglourious Basterds"") are so good as the British and Austrian drivers respectively that the dialect coaches should receive a special commendation. Arguably Brühl gives the stronger performance which should auger well for his future career.,A great strength of this tale is that there is not a hero or a villain. Both drivers had privileged backgrounds and were superbly talented, but both were flawed. although in very contrasting ways, including styles of thinking, driving and womanising (Olivia Wilde as model Suzy Miller and Alexandra Maria Lara as aristocratic Marlene Knaus respectively).,I never saw the recent film ""Senna"" (2010) so ""Rush"" reminded me most of the much older ""Grand Prix"" (1966), but what is stunning about ""Rush"" is that it all happened. A season of the fastest sport in the world decided in the last race by one point - you couldn't make it up. Rush to see the movie.","Daniel Brühl,Chris Hemsworth,Olivia Wilde","$38,000,000 (estimated)"
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Brad Bird,96,861,"Pet rats were kept at the studio in the hallway for more than a year so that the animators could study the movement of their fur, noses, ears, paws, and tails.",,"This film is fantastic! Pixar has yet another great film to add to their impressive repertoire. Oscar-winning director and screenwriter Brad Bird, who wrote and directed ""The Incredibles"", has produced a film with subtle humor, heart, and very profound truth. The voice actors are so great, and it is especially great to hear Peter O'Toole on the screen. The animation is beautiful and it is all around an excellently made film. Its message is one that holds so much truth for everyone, especially today's youth: it tells people that no, not anyone can do anything, but if you have the talent you don't have to be limited by your surroundings or your upbringing. I think this is refreshing to hear because often, children are lied to when they are told they can do anything, when actually not all of them can. But it offers hope to the ones who may feel limited by their social class. It also exposes the fact that most people try to put up false facades of themselves to hide who they are in order to feel accepted by the social standards we create in our society; it shows characters with this flaw, but ultimately they accept this reality and learn to be true to themselves. This thread, I think, is very common throughout the Pixar films, and they present it very well. ""Ratatouille"" is my new Disney-Pixar favorite! ""Ce film a pleine de joie de vivre!""","Brad Garrett,Lou Romano,Patton Oswalt","$150,000,000 (estimated)"
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,77,1.7K,"When Charles Xavier suffers from his seizures, ",,"This really is one of the best superhero movies of all time. And best of all, it doesn't even feel like a superhero movie. Fantastic story and great acting all around.","Hugh Jackman,Patrick Stewart,Dafne Keen","$97,000,000 (estimated)"
The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,84,1K,Has it really been 27 years? The ,,"I just saw a horrifying, touching, very good movie again; it's The Terminator.  Now to talk of it as great film, to compare it with American Beauty might seem idiotic--it's an almost unrelentingly dark, violent, frightening action movie, after all--but strip away the relentless action, strip away the technophobia, strip away the blatant dislike of cops and modern youth, strip away the poignant love story and, at its core, it's about an immature, essentially mindless girl becoming a strong, determined woman.  That's a theme more movies should have if we want girls to have strong role models.,In the course of a few hours during which Sarah Connor realises that she is running for her life from a soul-less machine in human flesh that is implacably and violently determined to kill her, she transforms from a girl who can't balance her cheque book to a woman who can order a wounded, beaten man to ""get on your feet, soldier.""  She is clear-headed, not panicky, focused in crisis and incredibly courageous.  And it's not that she has lost her essential femaleness but that she's grown up.,It's relentless, heartless violence appals and fascinates me.  It's gritty depiction of our society as a prelude to an even more horrific one in 2023 darkens my heart.  It's quickly developing love story touches me.  Its humor makes the dark places in me smile.  But most of all I am touched and fascinated by Sarah's precipitous transformation. As a good life exercise, ask yourself this: Would you have the courage to do what she does?,9.5 out of 10.","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn","$6,400,000 (estimated)"
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,93,696,"In the baseball game scene, the real ",,"By coincidence I watched this film only a week after listening to the editor in chief of Huffington Post UK say that authentic writing cannot come from paid journalists, which is why they do not pay their writers (although Adriana Huffington seemed fine with the millions she got when she sold the website). This stuck in my mind when watching this very fine drama about how the Boston Globe reporters uncovered and exposed a mass cover-up of abuse within the Catholic Church. Also in my mind was a sense of disbelief that this true story is not too much more than a decade old – the mass abuse of children by Catholic Priests now just seems such a known thing now that it is hard to imagine a time when it wasn't.,Perhaps because this is so well known, the film is compelling because it focuses on the story of the story, focusing on the journalism. This gives the film the challenge that in terms of action it is mostly people typing, people on the phone, and lots of talking. This it manages really well, building a compelling but robust drama that builds well and takes the viewer along with it. The subject matter means that the emotional side is not left behind either, and the film deftly reminds us of the people (not just the facts) in ways that are natural and integrated, not sentimental or manipulative.,McCarthy directs with professional control, and standards are high – mostly noticeably in the casting. It is not easy to point out one lead, because so many famous faces are here, and all of them do their job in a way that integrates with the rest – there are no really showing moments, no moments where you feel someone is pushing for an Oscar; it is a real ensemble piece, with too many good turns to start to name them all. The end result is that strong writing, and respect for the process of journalism, combines with the importance of the true story and the strong delivery of all aspects to produce an engaging story which carries emotional and professional weight.","Mark Ruffalo,Michael Keaton,Rachel McAdams","$20,000,000 (estimated)"
Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,75,787,After director ,,"Stand By Me is yet another one of the stories made into a movie from the author who has had more stories made into movies than any other author in history, Stephen King. Clearly, the central character here is Gordie Lachance, from whose point of view the story is told and who obviously symbolizes King himself, given many of his characteristics as well as some of the content of the film. This movie is literally filled with actors who have achieved varying degrees of success over the years, such as Jerry O'Connell, who played Vern, River Phoenix, who could have been bigger than Leonardo DiCaprio if he hadn't died, Corey Feldman, who has grown into an unenviable but visible existence, Kiefer Sutherland, who has become an excellent and very well known actor, John Cusack can be seen in a small role as Gordie's late brother, and of course, Richard Dreyfuss, who played the narrator and Gordie as an adult, has remained famous but originally achieved fame more than a decade before Stand By Me was filmed or the original story was even written.,Stand By Me takes place in the summer of 1959, the general time period that Stephen King is most skilled at presenting, and four friends set out to find the body of a kid who was killed by a train, hoping to find what they predicted would be astronomical fame. Unfortunately, the town's bullies are also out to find the body for the same reason, which leads to the films ultimate final climax. Even though this is a very clever story with which to tell a fall from innocence story, it is the brilliant characterization and the incredible acting that really make this a classic film. It is extremely rare that a film comes along that stars young kids and is so moving and powerful. Also, every one of those kids is made three dimensional in creative and smooth ways, making you feel like you really knew them by the end of the film. Vern is the fat kid who always gets picked on, Teddy and Chris both have abusive or deranged fathers, not to mention Chris's cruel brother, and Gordie is a young boy who lost his brother three months earlier in a violent accident and who has been largely ignored by his parents ever since. In one memorable scene, Gordie wonders how Teddy can be so enthusiastic about his father's alleged military achievements when the man once held his head to a stove, nearly burning his ear off. Gordie is mystified because he could care less about his own father, who hadn't laid a hand on him since he was three years old and got caught `eating bleach under the sink.',Stephen King pokes fun at his own craft many times in the film, such as in Gordie's vehement line, `F*ck writing. I don't want to be a writer, it's a stupid waste of time!' Not only that, but there are also obvious references to his other works, such as when the boys first realize that no one brought food, and Teddy says, `This is great, what are we supposed to do, eat our feet?' People who actually read instead of just lazily watching the movies will recognize this as a major part of the plot of another of King's short stories, `Survivor Type,' from which Cast Away borrowed heavily. And why don't you people read these books? `The Body,' which Stand By Me was based on, is only 148 pages long, you could read that in a couple of hours and the experience is totally different from a movie. It's even more disturbing that `The Body' was published in the same book (Different Seasons) as a couple of King's other famous stories  `Apt Pupil' and, of course, `Rita Hayworth and the Shawshank Redemption.',Stand By Me is a story of how one event can unexpectedly change lives. It seems to be a story about friends and how important they are, but this possible theme is clearly dispelled in a line from the narration spoken at the end of the film  `As time went on, we saw less and less of Teddy and Vern, until eventually they became just two more faces in the halls. It happens sometimes, friends come in and out of your life like busboys at a restaurant.' Instead, the film is about learning from a life changing experience and actually making changes or modifying your life in some way because of it, and this is heavily emphasized at the end of the film.,Stand By Me is a timeless film. Stephen King's story is skillfully brought to the screen under the direction of Rob Reiner, and the 1950s are brought back to life just as successfully as King so often does in his stories and novels, with the slicked back hair, the hot rods, and in the film, and excellent 50s soundtrack. There is so much more to this film than just the superficial story  things about the characters and the story, but also about the tremendously talented man who wrote it all.","Wil Wheaton,River Phoenix,Corey Feldman","$8,000,000 (estimated)"
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,92,671,According to ,,"Platoon is a 1986 American war film written and directed by Oliver Stone one of the most strongest realistic anti war films of all time. It is one of the best Vietnam war films I have ever seen that won the Academy Award for Best Picture of 1986 and best Director for Oliver Stone, as well as Best Sound Mixing and Best Film Editing. Stone's Vietnam film portrayed a real life human been on his point of view of the story telling that went on in his real life that he experienced after his tour of duty in Vietnam ended in 1968, Oliver Stone wrote a screenplay called Break: a semi-autobiographical account detailing his experiences and the life he was in Vietnam. The characters were portrayed more then a few soldiers they were portrayed more as a human been than been soldiers obeying an order.Platoon shows the Vietnam War was a big mistake, but being a fictional documentary on Vietnam is far from its purpose. It is one of my personal favorite war movies. I love this movie to death. ,Those of us who did make it have an obligation to build again, to teach to others what we know, and to try with what's left of our lives to find a goodness and meaning in this life. ,In Platoon, Chris Taylor (Charlie Sheen) is a young, naive U.S. soldier who, upon his arrival to Vietnam, quickly discovers that he must do battle not only with the Viet Cong, but also with the gnawing fear, physical exhaustion and intense anger growing within him. While his two commanding officers draw a fine line between the war they wage against the enemy and the one they fight with each other, the conflict, chaos and hatred permeate Taylor, suffocating his realities and numbing his feelings to man's highest value... life.,Chris sees his platoon fragmented into two halves, each aligned with one of two men -- Sgt. Elias (Willem Dafoe) and Sgt. Barnes (Tom Berenger). Those two soldiers are really two positive good things to see in the film because it sets the viewer on the seat of the edge. They both have nominally the same enemy (Viet Cong), but, really, it doesn't take long to realize that Elias is Good, and Barnes is Evil (the ""enemy"" does not enter into the moral equation of this film, at all it's an outside threat, same as malaria-carrying mosquitoes or even friendly fire). Elias feels the futility of the war and has respect for life; Barnes fights the war doggedly and has no compassion, period. Both are efficient soldiers fighting the same enemy, but really as is at one point aptly put by Chris Taylor himself,they are fighting for the souls of the platoon members, as the outcome of the war is never really in doubt.,The platoon reaches the village, where a food and weapons cache is discovered. While questioning the village chief, Barnes loses his patience and senselessly kills the man's wife despite his denials that they are aiding the Viet Cong. Barnes is about to murder the man's young daughter to force him to tell them to where the enemy is. ,Elias doesn't take kindly to this kind of behavior. Elias and Barnes come closer and closer to open conflict, as Taylor becomes a veteran, obviously siding with Elias. Meanwhile, the fate of the platoon comes closer and closer to them, culminating in an explosively shot action conclusion. The end is dark, but morally satisfying.,Platoon is a legendary film. A film that I will always cherish, and a film that I will never get tired of. And the last Vietnam film worth a damn to watch. There isn't any War film today that was filmed as really human drama war today in 2015. It respectively represents the very essence of purposefully haunting powerful cinematography in the history.-- It is representing admirable cinematic craftsmanship and storytelling. A film that is sometimes impossible to watch for its frighteningly intense and emotionally draining account of the Vietnam War as it is waged both on the battlefields and within the very souls of men.,The best real human drama portrayed on screen anti-war film in Vietnam from the 80's, It is my favorite film that I will always love to death to see. I also don't watch this film for an action ; I actually see it for the war and how it everything was, what is more valuable and it is life: The film also have a message in it. The actors portraying the characters did make a believable performance as the real team of squad soldier fighting the Enemy the Viet Cong.,The battles with Viet-Cong are shown realistic mostly on the end of the final battle. 10/10","Charlie Sheen,Tom Berenger,Willem Dafoe","$6,000,000 (estimated)"
Rocky,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,70,792,After producers ,,"I don't remember exactly when I first saw this film, but for a long time I thought that the second of the series was my favorite.  Well, I recently bought the DVD box-set and after I watched the first movie again I knew that it was definitely the best in the series, and also one of the best movies ever made.  Rocky is very much more than just a boxing movie.  It's a movie about the unbreakable human spirit, determination, and the will to ""go the distance.""  Rocky(Sylvester Stallone) is a second rate club-fighter and a debt collector for a loan shark(Joe Spinnell).  He becomes involved with a shy girl working in a petshop named Adrian(Talia Shire), and also becomes friends with her brother Paulie(Burt Young).  Rocky's life really isn't anything of interest - until the World Heavyweight Champion Apollo Creed(Carl Weathers) gives him an unexpected shot at the title.  An old boxer-turned-trainer named Mick(Burgess Meredith) offers to be Rocky's manager.  Although the whole film is outstanding, what follows are some of the greatest and most memorable movie moments of all time.  Rocky striving to go the distance in the training scene, the final fight, and the closing moments of the film are so emotional and inspiring that they perfectly demonstrate the human spirit and can bring out the will to win in anybody. Add to this an excellent music score and you have  a classic and unforgettable movie.  Without a doubt deserved the Best Picture award in 1976.   Exceptional performances by all the cast members, notably Burgess Meredith and Sylvester Stallone.  **** out of ****","Sylvester Stallone,Talia Shire,Burt Young","$960,000 (estimated)"
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,81,1.6K,"In preparation for his role, ",,"Racing champ Carroll Shelby (Matt Damon) has to retire due to a medical issue. His racing friend Ken Miles (Christian Bale) is seen as difficult and the IRS has confiscated his garage. Ferrari has been at the top of racing in the 24 Hours of Le Mans. The Ford Motor Company finds its sales going stale and Henry Ford II wants a big idea. Marketing VP Lee Iacocca has the idea to enter the race. They first try to buy Ferrari and Enzo Ferrari insults Henry Ford II. Iacocca recruits Shelby to create a racing car and Shelby recruits Miles to be his driver.,This is an old fashion rip roaring good times. Damon and Bale are great. All the actors are great whether it's Tracy Letts being told that he's not Henry Ford or the villainy of Josh Lucas. It's a solid sports underdog story. It's fun like Caitriona Balfe driving crazy. The race is thrilling. It is a perfectly made old fashion movie.","Matt Damon,Christian Bale,Jon Bernthal","$97,600,000 (estimated)"
