item,prices,description
ASUS TUF Gaming VG249Q 24 inch 144HZ FreeSync 1ms IPS Monitor,"27,500৳","The ASUS TUF Gaming VG249Q Monitor 17"" 16:9 Curved 144 Hz HDR Adaptive-Sync LCD Gaming Monitor is built for enthusiasts looking to immersive themselves within their gaming world. Built with a 24 inch Ips panel featuring an 1800R curvature and a 16:9 aspect ratio, it provides users a front row seat to the action. Specs-wise, the display has a 1920x1080 resolution, a 1000:1 static contrast ratio, and a 250 cd/m² brightness rating. To complete the gaming package, it's equipped with Adaptive-Sync technology and has a 165 Hz refresh rate. Connect this display to your system via HDMI or DisplayPort and adjust its stand to best fit your viewing preference. Otherwise, you can install an optional VESA mount, stand, or arm if needed. "
ASUS TUF GAMING VG247Q1A 23.8 INCH 16:9 165 HZ GAMING MONITOR,"25,000৳","Immerse yourself deep into your favorite games with the TUF GAMING VG247Q1A 23.8"" 16:9 165 Hz Gaming Monitor from ASUS. Designed for the gaming enthusiast, the VG247Q1A gives you high refresh and response rates, ideal for fast-paced competitive titles where every second counts."
ASUS PROART PA328QV 31.5 INCH 1440P HDR10 MONITOR,"66,000৳","Designed for the creative professional, the ProArt 31.5"" 1440p HDR10 Monitor from ASUS is factory calibrated and Calman-certified to deliver ΔE <2 color accuracy rating. This QHD 2560 x 1440 resolution monitor provides color accuracy in your workflow with 100% coverage of the sRGB and Rec. 709 color spectrums with DCI-P3 support. Quickly switch between different color settings to fit your photo, video, or design project. This monitor connects to your system through the HDMI and DisplayPort inputs. There is an integrated USB hub with four type-A USB 3.1 Gen 1 ports to further simplify your creative workflow by connecting multiple external storage devices and peripherals directly to the monitor."
ASUS TUF Gaming VG279Q1R 27 inch 144Hz Full HD IPS Gaming Monitor,"38,000৳",
Asus TUF VG249Q1A 23.8 Inch 165Hz Full HD IPS Gaming Monitor,"25,500৳",
BenQ GW2283 21.5 Inch Eye-Care Stylish IPS Monitor,"15,100৳","BenQ GW2283 Designed for simplicity, while also delivering authentic colors, deeper blacks, higher contrast, and sharper details, the GW2283 21.5"" 16:9 Eye-Care Stylish IPS Monitor from BenQ combines slim bezels with hidden cable management. BenQ GW2283 features a native resolution of 1920 x 1080 with a 60 Hz refresh rate, also as coverage for 72% of the NTSC color gamut. BenQ GW2283 also features In-Plane Switching (IPS) technology, 8-bit support for 16.7 million colors, a 16:9 ratio , a static contrast ratio of 1000:1, a dynamic contrast ratio of 20,000,000:1, a typical luminosity of 250 cd/m2, and a 5 ms (GtG) reaction time in. BenQ GW2283 Using the 178° horizontal and vertical viewing angles, it's possible to observe content from virtually any position.BenQ's GW2283 has one VGA and two HDMI 1.4 inputs, 3.5mm headphone and line in jacks, and dual 1W speakers. To further help improve viewing and accessibility, this display features a tilt of -5 to 20° and is compatible with 100mm VESA mounts. It employs BenQ's Eye-Care, Brightness Intelligence, Picture Perfect Content Optimization, Low Blue Light, and Flicker Free technologies."
Asus ROG Swift PG259QNR 24.5 Inch 360Hz FHD eSports G-SYNC Gaming Monitor,"110,000৳",
ASUS ProArt Display PA279CV 27 inch 4K UHD Professional Monitor,"72,500৳","ProArt Display PA279CV is a 27-inch monitor designed to satisfy the needs of creative professionals, from a photo and video editing to graphic design. ProArt Display PA279CV is factory calibrated, and Calman Verified to deliver superb color accuracy (∆E < 2). It also provides industry-standard 100% sRGB / 100% Rec. 709 color space coverage. The integrated USB-C port supports data transfers, DisplayPort and also supports 65W power delivery via one cable, provides a convenient solution, and keeps your desk area tidy. PA279CV makes it easy to achieve the exact look you desire quickly, easily, and precisely."
ASUS ProArt Display PA32UCR-K 32 Inch 4K IPS mini-LED Professional Monitor,"230,000৳",
Asus ROG Swift PG278QE 27 Inch 165Hz 2K WQHD Gaming Monitor,"60,000৳",
XIAOMI REDMI RMMNT215NF 21.45 INCH FULL HD MONITOR,"9,499৳","Xiaomi launches a new computer screen: the 21.5-inch Xiaomi Redmi monitor. According to reports, this screen uses 21.45 inches of 1080P resolution, 75Hz refresh rate, 300nit, highlights 8-bit color depth VA panel.178° wide viewing angle, covering 72% NTSC color gamut, 3000:1 contrast ratio, TÜV low blue-ray certification. Supports VESA wall mount, global DC dimming, and world-class energy efficiency. It is equipped with an HDMI and VGA interface, adjustable brackets, and rated power of 24W at most."
ASUS ProArt Display PA278QV 27 Inch WQHD IPS Monitor,"51,000৳",
LG 22MP400-B 22 INCH FULL HD VA AMD FREESYNC MONITOR,"13,300৳",
HP V22 21.5 INCH LED Full HD Monitor,,"The HP v22 Monitor comes with 21.5"" FHD (1920 x 1080) TN Display. This monitor featured with 16:9 Aspect ratio, 0.248 mm Pixel pitch, 250 nits Brightness, 1000:1 static Contrast ratio 5ms (on/off) Response time, 30-80 KHz Display scan frequency (horizontal), 50-60 Hz Display scan frequency (vertical), Anti-glare; Low blue light mode and -5 to +20° Tilt. Here Exit; Information; Management; Power; Input control; Menu control; Brightness+; Image; Color Onscreen controls are available. This new HP monitor comes with Input voltage 100 to 240 VAC, 19 W (maximum), 18.5 W (typical), 0.5 W (standby) Power Consumption Description and 5 to 35°C Operating temperature range. This HP v22 Monitor has 03 years warranty."
ACER EB192Q 18.5 INCH LED MONITOR,"8,800৳",
ACER HA220Q 21.5 INCH FULL HD IPS MONITOR,"12,999৳","Exceptional Full HD IPS (In-Plane Switching) Ultra-thin 21.5-inch display: With 1920x1080 resolution and 178 degree wide viewing angles, you may enjoy stunning image quality.Connectivity Ports of entry: 1 VGA port, 1 HDMI port, 1 Audio-In port, HDMI and VGA cable in the package.Features of Eye Care Comfyview helps to protect the eyes and provides a comfortable viewing experience by including Blue Light Shield and Flickerless.AMD Free Sync Technology provides 250 nits of brightness, a 4ms response time, and a 75Hz refresh rate.2W X 2 Stereo Speakers Integrated for a Better Multimedia Experience.For comfortable viewing, a frameless ultra-thin display with Zero Frame form factor with a -5 to 15 degree slanted angle is available."
Dell D1918H 18.5 Inch LED Monitor,"10,900৳","Refresh Rate: sixty Hz, Viewing Angle ninety-degree horizontal sixty-five degree vertical.Flicker-Free Technology.Dell D1918H Screen Size eighteen.5 in. (47 cm) HD prepared (1366 X 768) American state Panel latent period five ms..It has a Feature of property one VGA Port, one HDMI Port, Aspect Ratio 16:9, Brightness (Typical): two hundred cd/m²."
ASUS VA249HE Eye Care 23.8 inch 60HZ Flicker Free Full HD Monitor,"20,699৳",
ViewSonic VX2480-SHDJ 24 inch Full HD IPS Entertainment Monitor,,"ViewSonic VX2480-SHDJ offers exceptional image quality with an ergonomic design. A 24"" Full HD, IPS display produces clear pictures and movies with vivid colors and contrasts. The 75Hz refresh rate ensures a fluid PC experience, from web page navigation to gaming. This monitor is suitable for both work and home, thanks to its sleek, thin-bezel display and minimalist design. And, no matter where you place the monitor, the ergonomic stand with swivel, pivot, tilt, and height adjustment delivers amazing comfort and versatility. Our SuperClear IPS Technology provides constant color and contrast. With viewing angles of up to 178 degrees, your material looks realistic no matter where you sit. The built-in wire management solution keeps your environment clutter-free. ViewSonic's patented ViewMode settings, which enable improved screen performance for several applications like gaming, editing, or watching movies, are also included with the VX2480-SHDJ. Furthermore, DisplayPort and HDMI connections provide versatile connectivity for gaming and entertainment"
GIGABYTE G32QC-EK 32inch 165Hz Curved Gaming Monitor,"44,500৳","Catch up with the competition with the G32QC 31.5"" 16:9 Curved 165 Hz Adaptive-Sync VA Gaming Monitor from Gigabyte. Featuring a fast 165 Hz refresh rate, a 1 ms response time, and Adaptive-Sync support, this monitor offers users a fluid and lag-free gaming experience. Moreover, it's built with a curved VA panel, which places you right in the middle of the action. Specs-wise, it has a 2560 x 1440 QHD resolution, a 3000:1 static contrast ratio, a 350 cd/m² brightness rating, and support for 16.7 million colors. Connectivity options include HDMI and DisplayPort, and its stand supports height and tilt adjustments."
Asus TUF VG259Q 25 Inch 144Hz Adaptive-Sync IPS Gaming Monitor,"31,000৳",
ASUS VA229HR Eye Care 21.5 inch 75HZ Flicker Free Full HD IPS Monitor,"15,999৳","The VA229HR 21.5"" 16:9 Eye Care IPS Monitor from ASUS can be viewed from nearly any angle with its 178° horizontal and vertical viewing angles. It features a 75 Hz refresh rate and its Full HD 1920 x 1080 resolution and 80,000,000:1 dynamic contrast ratio offers crisp, clear picture quality. Additionally, this monitor features a 5 ms response time and 250 cd/m² brightness rating for reduced blur and a brighter overall picture. Setup and configuration of the ASUS VA229HR is simple as it comes equipped with HDMI and VGA inputs and 1.5W stereo speakers. The display has both a low blue light filter and flicker-free technology to reduce the strain placed on your eyes during extended viewing sessions. For added convenience, the monitor is VESA wall-mountable."
Gigabyte M32U 31.5 INCH 4K 144Hz FreeSync IPS Gaming Monitor,"66,000৳","Level up your gameplay with the M32U 31.5"" 16:9 4K 144 Hz FreeSync IPS Gaming Monitor from Gigabyte. Featuring a 31.5"" In-Plane Switching (IPS) panel, this monitor provides a 4K resolution of 3840 x 2160. AMD FreeSync and a 1 ms (MPRT) response time ensure smooth frames and fast action. Furthermore, PC gamers can take advantage of refresh rates up to 144 Hz, while connecting to a console enables rates up to 120 Hz. Additionally, the M32U features a 1000:1 static contrast ratio, support for 1.07 billion colours, and 90% DCI-P3 and 123% sRGB coverage for crisp, accurate colours. Finally, a host of gaming-oriented tools allow you to customize performance."
HP U28 28 inch 4K HDR IPS Monitor,,"Experience the best quality while producing your best creative on this 28” 4K HDR monitor. Whether you're creating for web, print, or photography, ensure your content is seen exactly as you intended. With factory color calibration, enjoy color accuracy you can count on. Now, you can always stay comfortable while working with height adjustability and swivel capabilities. Plus, you’ll always be keeping the environment in mind when designing with a display built with recycled ocean-bound plastics."
ViewSonic VX2276-SH 22 inch IPS Monitor,"15,900৳","ViewSonic VX2276-SH 22"" FHD IPS Monitor SuperClear IPS ( delivers the same image quality whether you are looking at the screen from above, below, the front, or the side) panel for vivid picture quality and wider viewing angles, Frameless bezel and stylish stand, 75Hz refresh rate delivers fluid visuals, Flicker-Free and Blue Light Filter. This monitor provides a near-seamless viewing experience ideal for multi-monitor setups. The Full HD resolution boosts efficiency and image detail needed for work or play. A dynamic contrast ratio of 50M:1 delivers enhanced image depth for a better user experience. The Built-in HDMI and VGA inputs deliver flexible connectivity options for a wide range of devices. In this monitor Full HD 1920x1080 resolution, provides an unbelievable pixel-by-pixel performance for outstanding entertainment. The new ViewSonic monitor takes on an architecturally inspired design aesthetic fused with modern form factors such as an ultra-slim profile, a modern frameless bezel, and a unique triangle stand. In this monitor, Flicker-Free technology and a Blue Light Filter help to eliminate eye strain from extended viewing periods. The ViewSonic’s ViewMode includes optimized “Game,” “Movie,” “Web,” “Text,” “Mono”, and “Mac” presets and offers specialized enhancements to gamma curve, colour temperature, contrast, and brightness to deliver the optimal viewing experience for different applications. This monitor has been designed with energy efficiency in mind, featuring an Eco Mode that consumes less power, resulting in a smaller carbon footprint and reduced overhead costs. This brand new ViewSonic VX2276-SH 22"" FHD IPS Monitor has 03 years warranty."
Samsung Odyssey G9 49 inch 32:9 240Hz Curved HDR NVIDIA G-SYNC QLED Gaming Monitor,"175,000৳",
VIEWSONIC VX2418-P-MHD 24-inch 165Hz Full HD Gaming Monitor,"26,200৳",
BenQ EX3501R 35 Inch Curved sRGB 2K Monitor,"78,900৳","The EX3501R 35"" 21:9 Curved LCD Monitor from BenQ is designed to offer the viewer an all-encompassing, cinematic viewing experience. In addition to the curvature of the screen, this monitor also features a 21:9 ultra-wide aspect ratio to provide more screen space than traditional 16:9 displays. BenQ EX3501R To complete the immersive viewing experience, BenQ has included HDR support in this display, which helps to create a dynamic picture with deep dark and bright light colors.Setup and configuration of the EX3501R monitor is simple as it comes equipped with both HDMI and DisplayPort inputs as well as USB connectivity. The BenQ EX3501R monitor built-in USB Type-C port makes it easy to connect a wide variety of USB enabled peripherals directly to the display. Once configured, this monitor offers a 3440 x 1440 resolution, a 2500:1 contrast ratio, a 300 cd/m² brightness rating, a 100 Hz refresh rate, and a 4 ms response time to provide a clear picture with reduced ghosting and blur. The EX3501R even covers 100% of the sRGB color space, making this monitor a great tool for graphics artists and those working on projects where color accuracy is a must."
VIEWSONIC VX2480-2K-SHD 24 INCH 75HZ QHD IPS SUPERCLEAR MONITOR,"28,500৳",
VIEWSONIC VA2409-H 24 INCH FULL HD MONITOR,,"The ViewSonic VA2409-H is a 24” Full HD monitor featuring HDMI and VGA inputs for business and home use. The optimal screen performance and comfortable viewing without tearing or stuttering is delivered through adaptive sync, eye-care technology, and various ViewMode presets. Simply expand your workspace and experience truly seamless, ergonomic multitasking on just one screen with a VESA-compatible mount at a low power consumption.Enjoy vivid colors with consistent brightness and amazing accuracy no matter the vantage point. Enjoy vivid colors with consistent brightness and amazing accuracy no matter the vantage point. SuperClear® IPS monitor features ultra-wide 178-degree vertical and horizontal viewing angles that deliver the same image quality with true-color accuracy and consistency from screen to print.Full HD 1920x1080 resolution creates unbelievably clear pixel-by-pixel image performance. Experience mind-blowing clarity and detail while working, gaming, or enjoying the latest show premieres."
ViewSonic VA2406-H-2 24 inch 1080p Full HD Monitor,"16,500৳","The ViewSonic VA2406-h-2 is a 24” Full HD monitor with HDMI and VGA input for business or home usage. Delivering a stunning image quality with low power consumption, this monitor provides six ViewMode presets that deliver optimised screen performance based on your needs. The eye care technology that comes standard with all VA monitors helps to eliminate eyestrain from extended viewing periods. A VESA-compatible mount makes this monitor is easy to setup on the wall or with a wide range of industry-standard mounts"
BENQ ESSENTIAL GW2485TC 23.8 INCH FULL HD EYE-CARE STYLISH IPS MONITOR,,
VIEWSONIC VX2480-SHD 24 INCH FHD IPS MONITOR,,"The ViewSonic VX2480-2K-SHD features a pixel dense, 24” QHD IPS display with incredible colors and contrast. With a 75Hz refresh rate, the PC experience is smoother and more fluid as the display loads more frames per second. SuperClear® IPS Technology not only produces richer colors and contrast, but it also enables wider viewing angles, so your content always looks incredible. A 3-side borderless panel and sleek, minimal aesthetic combine into a product that is more modern and premium, perfect for at work or at home. An in-built cable management solution helps to keep your personal space organized and free of clutter. VX2480-2K-SHD is also equipped with ViewSonic’s exclusive ViewMode™ presets, which offer optimized screen performance for a variety of scenarios such gaming, editing, or watching movies. In addition, a DisplayPort and HDMI inputs offer flexible connectivity for gaming and entertainment."
"AOC Gaming G2490VX 23.8"" FHD 144Hz Gaming Monitor","21,800৳",
ViewSonic VX3418-2KPC 34 Inch WQHD 144Hz Adaptive-Sync Eye Care Curved Gaming Monitor,"56,500৳",
ViewSonic VA2406-H 24 inch 1080p Full HD Monitor,,"The ViewSonic VA2406-h is a 24” Full HD monitor with HDMI and VGA input for business or home usage. Delivering a stunning image quality with low power consumption, this monitor provides six ViewMode presets that deliver optimised screen performance based on your needs. The eye care technology that comes standard with all VA monitors helps to eliminate eyestrain from extended viewing periods. A VESA-compatible mount makes this monitor is easy to setup on the wall or with a wide range of industry-standard mounts"
STAREX HT22FW 21.5 INCH WIDE LED BOARDERLESS MONITOR,,"STAREX HT22FW 21.5 INCH WIDE LED BORDERLESS MONITOR Monitor from Starex which features a native resolution of ""Resolution"" with a 75"" refresh rate, as well as coverage for ""colour number "" of the ""colour gamuts "". It also features ""technology Type "" technology, support for 1.07 billion colours, "" HDR support or not "" support, a 16.7M aspect ratio, a static contrast ratio of 100000:1, a typical brightness level of ""brightness "", a ""response time"" ms response time in normal mode, and a 5 ms response time in fast mode. Using the ""viewing angles"" and vertical viewing angles, it is possible to watch content from virtually any position."
STAREX HT22FW 18.5 INCH WIDE LED MONITOR,,"Techland bd is one of the best monitor retailer companies in Bangladesh. STAREX HT22FW 18.5 INCH  monitor is the best monitor. STAREX HT22FW 18.5 INCH WIDE LED MONITOR from Starex which features a native resolution of ""Resolution"" with a ""75"" refresh rate, as well as coverage for ""colour number "" of the ""colour gamuts "". It also features ""technology Type "" technology, support for 16.7M billion colors, "" HDR support or not "" support, a 16.7M aspect ratio, a static contrast ratio of 10000:1, a typical brightness level of ""brightness "", a ""response time"" ms response time in normal mode, and a 5 ms response time in fast mode. Using the ""viewing angles"" and vertical viewing angles, it is possible to watch content from virtually any position."
VIEWSONIC OMNI VX2416 24 INCH GAMING MONITOR,,"The ViewSonic VX2416 features a crisp Full HD display paired with a hyper-responsive 100Hz refresh rate for smooth gaming. The 100Hz refresh rate loads more frames for sleek gameplay with less lag. A 1ms response time ensures your reactions are as fast as the game, helping you to claim more victories. AMD FreeSync™ virtually eliminates screen tearing and stuttering for the smoothest gaming experience possible.AMD FreeSync™ enables smooth gameplay by synchronizing your GPU and monitor outputs, allowing games to be more immersive, and giving you an advantage over the competition.The hyper-responsive 100Hz refresh rate eliminates lag and motion blur for seamless gameplay. Experience smooth, flawless visuals no matter the game, from first-person shooters to real-time strategy. You can see the advantage thanks to faster frame loading.Experience better performance and smooth pixel transitions with a fast 1ms (MPRT) response time. React faster and game with precision."
VIEWSONIC TD2230 22 INCH 10-POINT TOUCH SCREEN MONITOR,,"The ViewSonic TD2230 is a 22” (21.5” viewable) Full HD display with 10-point projected capacitive touch and SuperClear® IPS panel, offering a responsive, intuitive touch experience with high-quality image performance at wide viewing angles for multi-user interactive environments. Users can tap, swipe, slide, pinch and nudge their fingers directly on the touch screen during group activities. This display is ideal for use as an informative kiosk in hospitality, retail, healthcare and corporate sectors, utilising customised applications for simple touch interaction. It is also suitable for group studies at schools, encouraging interactive learning, or for families enjoying multimedia entertainment or gaming at home. The TD2230 features a durable edge-to-edge, 7H glass treatment and an ergonomic design that allows the display to be adjusted or sit flat on the table, providing durable surface quality and a smooth touch experience."
STAREX 21.5 INCH WIDE LED BORDERLESS MONITOR,,"Stay productive and reduce your exposure to blue light with the STAREX 21.5 INCH WIDE LED BORDERLESS MONITOR, which features an In-Plane Switching (IPS) panel that provides wide 178° vertical and horizontal viewing angles. It features a Full HD 1920 x 1080 resolution, a 1000:1 contrast ratio, and a 60 Hz refresh rate. There are plenty of video input options, including DisplayPort 1.2 and HDMI 1.4. Need more USB ports? The monitor can act as a USB hub, with four USB Type-A ports available. Additionally, the stand allows you to adjust the tilt, swivel, pivot, and height of your monitor."
PHILIPS 24 INCH 241V8 IPS FRAMELESS LED MONITOR,"20,500৳","Philips V line wide-view monitor gives viewing beyond boundaries, great value with essential features. Adaptive-Sync delivers smooth video display. Features like anti-glare, LowBlue mode, and flicker-free for easy-on-the eyes. See all benefits."
PHILIPS 21.5 INCH 221V8 VA FRAMELESS LED MONITOR,,"Philips V line wide-view monitor gives viewing beyond boundaries, great value with essential features. Adaptive-Sync provides flawless viewing without screen tearing. Features like LowBlue mode and flicker-free for easy-on-the eyes. See all benefits"
LG UltraGear 27GN800-B 27 inch QHD IPS 144Hz Gaming Monitor with G-SYNC Compatibility,"49,000৳",
MSI MODERN MD271CPW 27INCH 16:9 CURVED 75 HZ VA MONITOR (WHITE),"27,900৳","With its elegant ergonomic design and curved screen, the white MSI Modern MD271CPW 27"" 16:9 Curved 75 Hz VA Monitor is built to optimize comfort while you stay productive and entertained. This 1920 x 1080 resolution Full HD monitor features a 1500R curved design, which works with the 178° viewing angles to fill your field of view. This allows you to use your peripheral vision to see the screen edges instead of continually having to shift and refocus your eyes. Additionally, TUV certified anti-flicker and blue-light reducing technologies help to further reduce eyestrain when viewing the monitor for extended periods of time. The thin bezels also help to keep you focused on the picture while making it ideal for multi-monitor configurations. Simply connect the MD271CPW to your compatible devices using the HDMI 1.4b and USB Type-C inputs, then adjust the height, tilt, and swivel to suit your liking to get started."
LENOVO L24I-30 23.8 INCH MONITOR,,"The Ultra-thin 60.4cms (23.8) In-Plane Switching panel of the L24i-30 with 3-side near-edgeless design delivers quality visuals as well as a modern look. The L24i-30 has adopted a stylish metal stand with phone holder and cable management groove. Users can easily become immersed in entertainment with a 75Hz refresh rate and free-sync while Eye Comfort certified eyecare technology reduces eye fatigue even after long hours. With Artery software loaded, users can adjust monitor settings with the convenient interface."
KALOC KLC V28 17-32 INCH DUAL LCD MONITOR DESK MOUNT STAND,,"Dual arm KLC V28 is an innovative and elegant monitor mount which built with latest technology that capable to hold up to 9kg/19.8lbs of monitor panel for each arm. The sophisticated black color is easily blend into vast variety of working environment or interior furniture. It is available with multiple arm movement such as moves up, down, stretch forward and backward which comes at ease for the most ergonomic setup. Users able to access hassle free of 360° monitor rotation, -50°~ +35° tilt angle, 180° swivel and vertically height adjustments. All cables could be aligned along the compartment for tidy and safety reason."
LG 32UL950-C 32 INCH 4K UHD HDR FREESYNC IPS MONITOR WITH THUNDERBOLT™ 3,"166,000৳","The 32UL950-W 32"" 16:9 4K UHD HDR FreeSync IPS Monitor from LG features an expansive 32"" screen size for an immersive viewing experience. Built with an In-Plane Switching (IPS) panel, it offers vivid colors and wide 178° viewing angles. Specs-wise, it has a 3840 x 2160 4K UHD resolution, a 1300:1 static contrast ratio, a 450 cd/m² brightness rating, and support for 1.07 billion colors. With these combined, this monitor provides you with crisp, clear details and accurate colors. Moreover, it supports AMD FreeSync technology, a helpful addition for gamers. Connect this display to your system via HDMI, DisplayPort, or even Thunderbolt 3 and tilt it to your viewing preference. If needed, you can also install an optional VESA stand, mount, or arm. For your convenience, it also has a built-in USB hub that you can use to quickly connect peripherals."
LG ULTRAGEAR 34GP950G-B 34 INCH CURVED G-SYNC QHD 144 HZ HDR IPS GAMING MONITOR,"162,000৳","Fully immerse yourself in liquid-smooth graphics when playing your favorite games with the LG UltraGear 34GP950G-B 34"" 21:9 Curved G-Sync QHD 144 Hz HDR IPS Gaming Monitor. This high-performance 3440 x 1440 QHD resolution monitor features a curved screen that is designed to work the 178° viewing angles and slim bezels to enhance your entertainment experience by filling your field of view. Its 144 Hz refresh rate can be overclocked to 180 Hz using the DisplayPort input. Combined with the 1 ms response time in overdrive mode, the UltraGear 34GP950G-B minimizes motion blur to deliver smooth, sharp graphics with fast-action games. Additionally, NVIDIA G-Sync Ultimate technology helps to reduce screen tearing, stuttering, and other artifacts from games when a compatible graphics card is connected. Support for VESA DisplayHDR 600 certified high-dynamic range provides rich, realistic color with bright highlights and deep shadows to games, movies, and photos."
KALOC DS90 17 TO 32 INCH LCD MONITOR DESK MOUNT STAND,,"The DS90 is a modern, light-weight yet durable monitor mount which built with latest technology that capable to hold up to 9kg/19.8lbs of monitor panel. The sophisticated black color is easily blend into vast variety of working environment or interior furniture. It is available with multiple arm movement such as moves up, down, stretch forward and backward which comes at ease for the most ergonomic setup. Users able to access hassle free of 360° monitor rotation, -50°~ +35° tilt angle, 180° swivel and vertically height adjustments. All cables could be aligned along the compartment for tidy and safety reason."
KALOC DS90-2 17-32 INCH DUAL LCD MONITOR DESK MOUNT STAND,"6,800৳","Dual arm DS90-2 is an innovative and elegant monitor mount which built with latest technology that capable to hold up to 9kg/19.8lbs of monitor panel for each arm. The sophisticated black color is easily blend into vast variety of working environment or interior furniture. It is available with multiple arm movement such as moves up, down, stretch forward and backward which comes at ease for the most ergonomic setup. Users able to access hassle free of 360° monitor rotation, -50°~ +35° tilt angle, 180° swivel and vertically height adjustments. All cables could be aligned along the compartment for tidy and safety reason."
HP V20 19.5 INCH 16:9 HD+ TN MONITOR,,"Stay productive and entertained with the HP V20 19.5"" 16:9 HD+ TN Monitor. Built to deliver clear and crisp images, this 1600 x 900 HD+ resolution monitor is designed to provide high-quality experiences when performing everyday tasks such as viewing photos, watching videos, working on documents, browsing the internet, or playing games. Its built-in low blue light filter helps to reduce eye strain during use, and you can adjust the screen's tilt to suit your comfort."
Lenovo L22i-30 21.5 inch Full HD Backlit AMD Freesync Monitor ,"15,400৳",
HP P22VA G4 21.5 INCH 16:9 TN MONITOR,,"Get accurate visuals and a comfortable viewing experience with the P22va G4 21.5"" 16:9 TN Monitor from HP. Featuring a 21.5"" TN (Twisted Nematic) panel with a Full HD resolution, this monitor supports up to 16.7 million colors and sports a contrast ratio of 1000:1. A brightness of 250 cd/m² and wide viewing angles complement low blue light screen technology and enable a comfortable yet safe user experience. Smooth on-screen performance is ensured thanks to the 5 ms response time and 60 Hz refresh rate."
LENOVO THINKVISION P27Q-20 27-INCH 16:9 QHD MONITOR,,"The ThinkVision P27q-20 goes above and beyond expectations for a business monitor. The 27-inch, QHD (2560 x 1440 resolution), In-Plane Switching panel, housed within 4-side NearEdgeless bezels, delivers outstanding visual quality and seamless multi-screen experience. Multiple color gamut—sRGB, BT.709, and DCI-P3—and factory calibration ensure impressive color accuracy. The ThinkVision P27q-20 is TÜV Rheinland Eye Comfort certified, so you can work away without worrying about eye fatigue or strain. Moreover, ThinkColor Software1 on the ThinkVision P27q-20 lets you adjust advanced display settings to tailor your monitor to your specific needs. Navigating through the ThinkColor menu is convenient and simple enough for everyday users, so set-up your display to work comfortably and efficiently."
Enter 19 inch HD LED Backlit Gaming Monitor,,
HP P24v G4 23.8 Inch IPS Monitor,"17,500৳",
HP M27FW 27 INCH FREESYNC IPS MONITOR,"30,000৳","Designed for work and play, the M27fw 27"" 16:9 FreeSync IPS Monitor from HP, which lets users immerse themselves in a massive canvas that helps enhance comfort, wellness, and stability. This display employs IPS panel technology, a 75 Hz refresh rate, a 5 ms GtG response time with Overdrive, AMD FreeSync, and more. The IPS (In-Plane Switching) panel affords wide viewing angles of 178°, so content can be viewed from almost any direction, while AMD FreeSync synchronizes the display's refresh rate to the frame rate of the graphics card to greatly reduce or eliminate stuttering, juddering, and tearing during gaming and video playback. A refresh rate of 75 Hz means that the display refreshes 75 times per second for smoother motion and a response time of 5 ms means color changes will be virtually imperceptible. Lastly, coverage for 99% of the sRGB gamut delivers a wider color space and more lifelike images."
HP M27FWA 27 INCH 16:9 FREESYNC IPS MONITOR,,"The M27fwa 27"" 16:9 FreeSync IPS Monitor from HP is a general-purpose monitor that features coverage for 99% of the sRGB color gamut, AMD FreeSync technology, a 75 Hz refresh rate, and a 5 ms response time. Coverage for 99% of the sRGB gamut delivers a wider color space and more lifelike images, while AMD FreeSync synchronizes the display's refresh rate to the frame rate of the graphics card to greatly reduce or eliminate stuttering, juddering, and tearing during gaming and video playback. A refresh rate of 75 Hz means that the display refreshes 75 times per second for smoother motion. For greater ease of use with multimedia audio output, there are internal speakers."
BenQ EX2780Q 27 inch HDR FreeSync 144 Hz IPS Gaming Monitor,"58,500৳",
LG 27GL850 27 Inch Class UltraGear Nano IPS 1ms G-Sync Compatible Gaming Monitor,"58,750৳",
ACER K202HQL 19.5 INCH 16:9 TN MONITOR,,"The Acer 19.5"" K202HQL 16:9 TN Monitor is a simple, standard monitor fit for all types of use. It's built with a TN (Twisted Nematic) panel featuring a 1366 x 768 HD resolution, a 100,000,000 dynamic contrast ratio, a 200 cd/m² brightness rating, and support for 16.7 million colors. Connectivity options include VGA and HDMI, and the monitor also supports tilt adjustments. If needed, users can install an optional VESA compatible mount, stand, or arm for better positioning."
BenQ Mobiuz EX2510S 24.5 inch 165Hz 1ms IPS Gaming Monitor,"34,500৳",
BENQ EW3280U 32 INCH UHD 4K HDR ENTERTAINMENT LED MONITOR,,
BenQ EX3203R 31.5 inch Curved 144 Hz FreeSync 2 HDR LCD Monitor,"49,900৳",
ASUS VP247HAE 23.6 INCH FULL HD EYE CARE MONITOR,"18,499৳","VP247HAE 23.6” Full HD monitor with 178°wide view angle, 3,000:1 high contrast ratio, ASUS-exclusive SplendidPlus, VividPixel technologies are optimized for the finest image and color quality. This approach extends to the sturdy stand and slim profile without compromising style in ensuring stability and durability."
Dell S2421HN 24 inch FHD LCD IPS Monitor,"21,400৳",
Dell P2715Q 27 inch Ultra HD 4K Monitor,,
